emotion_weight,gen_text,output_wav,identity_ref,emotion_ref,wer,sim_o,mcd
0.0,The situation has become completely unacceptable and we need to act now.,results\baseline\4_emotion_transfer\emo_w0.00.wav,C:\Users\User\Documents\MSc\Studies\New folder\F5-TTS\src\f5_tts\infer\examples\basic\basic_ref_en.wav,C:\Users\User\Documents\MSc\Studies\New folder\F5-TTS\src\f5_tts\infer\examples\basic\basic_ref_zh.wav,,,
0.2,The situation has become completely unacceptable and we need to act now.,results\baseline\4_emotion_transfer\emo_w0.20.wav,C:\Users\User\Documents\MSc\Studies\New folder\F5-TTS\src\f5_tts\infer\examples\basic\basic_ref_en.wav,C:\Users\User\Documents\MSc\Studies\New folder\F5-TTS\src\f5_tts\infer\examples\basic\basic_ref_zh.wav,,,
0.35,The situation has become completely unacceptable and we need to act now.,results\baseline\4_emotion_transfer\emo_w0.35.wav,C:\Users\User\Documents\MSc\Studies\New folder\F5-TTS\src\f5_tts\infer\examples\basic\basic_ref_en.wav,C:\Users\User\Documents\MSc\Studies\New folder\F5-TTS\src\f5_tts\infer\examples\basic\basic_ref_zh.wav,,,
0.5,The situation has become completely unacceptable and we need to act now.,results\baseline\4_emotion_transfer\emo_w0.50.wav,C:\Users\User\Documents\MSc\Studies\New folder\F5-TTS\src\f5_tts\infer\examples\basic\basic_ref_en.wav,C:\Users\User\Documents\MSc\Studies\New folder\F5-TTS\src\f5_tts\infer\examples\basic\basic_ref_zh.wav,,,
0.7,The situation has become completely unacceptable and we need to act now.,results\baseline\4_emotion_transfer\emo_w0.70.wav,C:\Users\User\Documents\MSc\Studies\New folder\F5-TTS\src\f5_tts\infer\examples\basic\basic_ref_en.wav,C:\Users\User\Documents\MSc\Studies\New folder\F5-TTS\src\f5_tts\infer\examples\basic\basic_ref_zh.wav,,,
1.0,The situation has become completely unacceptable and we need to act now.,results\baseline\4_emotion_transfer\emo_w1.00.wav,C:\Users\User\Documents\MSc\Studies\New folder\F5-TTS\src\f5_tts\infer\examples\basic\basic_ref_en.wav,C:\Users\User\Documents\MSc\Studies\New folder\F5-TTS\src\f5_tts\infer\examples\basic\basic_ref_zh.wav,,,
