method,weight,gen_text,output_wav,identity_ref,emotion_ref,duration_s,peak_amp,wer,sim_o,mcd
direct_mel_injection,0.0,"I don't really care what you call me. I've been a silent spectator, watching species evolve, empires rise and fall.",C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\emotion_transfer\audio\w0.00.wav,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\F5-TTS\src\f5_tts\infer\examples\basic\basic_ref_en.wav,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\F5-TTS\src\f5_tts\infer\examples\basic\basic_ref_zh.wav,12.256,0.9,0.0,0.8925,726.47
direct_mel_injection,0.25,"I don't really care what you call me. I've been a silent spectator, watching species evolve, empires rise and fall.",C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\emotion_transfer\audio\w0.25.wav,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\F5-TTS\src\f5_tts\infer\examples\basic\basic_ref_en.wav,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\F5-TTS\src\f5_tts\infer\examples\basic\basic_ref_zh.wav,12.256,0.9,0.0,0.8959,706.93
direct_mel_injection,0.5,"I don't really care what you call me. I've been a silent spectator, watching species evolve, empires rise and fall.",C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\emotion_transfer\audio\w0.50.wav,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\F5-TTS\src\f5_tts\infer\examples\basic\basic_ref_en.wav,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\F5-TTS\src\f5_tts\infer\examples\basic\basic_ref_zh.wav,12.256,0.9,15.0,0.8331,869.96
direct_mel_injection,0.75,"I don't really care what you call me. I've been a silent spectator, watching species evolve, empires rise and fall.",C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\emotion_transfer\audio\w0.75.wav,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\F5-TTS\src\f5_tts\infer\examples\basic\basic_ref_en.wav,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\F5-TTS\src\f5_tts\infer\examples\basic\basic_ref_zh.wav,13.323,0.9,0.0,0.8124,832.15
direct_mel_injection,1.0,"I don't really care what you call me. I've been a silent spectator, watching species evolve, empires rise and fall.",C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\emotion_transfer\audio\w1.00.wav,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\F5-TTS\src\f5_tts\infer\examples\basic\basic_ref_en.wav,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\F5-TTS\src\f5_tts\infer\examples\basic\basic_ref_zh.wav,13.323,0.9,0.0,0.811,918.56
zero_shot_emotion,1.0,"I don't really care what you call me. I've been a silent spectator, watching species evolve, empires rise and fall.",C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\emotion_transfer\audio\zeroshot_emotion.wav,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\F5-TTS\src\f5_tts\infer\examples\basic\basic_ref_zh.wav,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\F5-TTS\src\f5_tts\infer\examples\basic\basic_ref_zh.wav,16.896,0.9,0.0,0.8405,846.0
