method,weight,gen_text,output_wav,identity_ref,emotion_ref,duration_s,peak_amp,wer,sim_o,mcd
direct_mel_injection,0.0,"I don't really care what you call me. I've been a silent spectator, watching species evolve, empires rise and fall.",C:\Users\User\Documents\MSc\Studies\New folder\results\extension_1\audio\w0.00.wav,C:\Users\User\Documents\MSc\Studies\New folder\F5-TTS\src\f5_tts\infer\examples\basic\basic_ref_en.wav,C:\Users\User\Documents\MSc\Studies\New folder\F5-TTS\src\f5_tts\infer\examples\basic\basic_ref_zh.wav,12.256,0.9,0.0,0.8928,726.41
direct_mel_injection,0.25,"I don't really care what you call me. I've been a silent spectator, watching species evolve, empires rise and fall.",C:\Users\User\Documents\MSc\Studies\New folder\results\extension_1\audio\w0.25.wav,C:\Users\User\Documents\MSc\Studies\New folder\F5-TTS\src\f5_tts\infer\examples\basic\basic_ref_en.wav,C:\Users\User\Documents\MSc\Studies\New folder\F5-TTS\src\f5_tts\infer\examples\basic\basic_ref_zh.wav,12.256,0.9,0.0,0.8953,706.91
direct_mel_injection,0.5,"I don't really care what you call me. I've been a silent spectator, watching species evolve, empires rise and fall.",C:\Users\User\Documents\MSc\Studies\New folder\results\extension_1\audio\w0.50.wav,C:\Users\User\Documents\MSc\Studies\New folder\F5-TTS\src\f5_tts\infer\examples\basic\basic_ref_en.wav,C:\Users\User\Documents\MSc\Studies\New folder\F5-TTS\src\f5_tts\infer\examples\basic\basic_ref_zh.wav,12.256,0.9,5.0,0.8402,869.31
direct_mel_injection,0.75,"I don't really care what you call me. I've been a silent spectator, watching species evolve, empires rise and fall.",C:\Users\User\Documents\MSc\Studies\New folder\results\extension_1\audio\w0.75.wav,C:\Users\User\Documents\MSc\Studies\New folder\F5-TTS\src\f5_tts\infer\examples\basic\basic_ref_en.wav,C:\Users\User\Documents\MSc\Studies\New folder\F5-TTS\src\f5_tts\infer\examples\basic\basic_ref_zh.wav,13.323,0.9,0.0,0.8123,832.24
direct_mel_injection,1.0,"I don't really care what you call me. I've been a silent spectator, watching species evolve, empires rise and fall.",C:\Users\User\Documents\MSc\Studies\New folder\results\extension_1\audio\w1.00.wav,C:\Users\User\Documents\MSc\Studies\New folder\F5-TTS\src\f5_tts\infer\examples\basic\basic_ref_en.wav,C:\Users\User\Documents\MSc\Studies\New folder\F5-TTS\src\f5_tts\infer\examples\basic\basic_ref_zh.wav,13.323,0.9,0.0,0.8107,918.41
zero_shot_emotion,1.0,"I don't really care what you call me. I've been a silent spectator, watching species evolve, empires rise and fall.",C:\Users\User\Documents\MSc\Studies\New folder\results\extension_1\audio\zeroshot_emotion.wav,C:\Users\User\Documents\MSc\Studies\New folder\F5-TTS\src\f5_tts\infer\examples\basic\basic_ref_zh.wav,C:\Users\User\Documents\MSc\Studies\New folder\F5-TTS\src\f5_tts\infer\examples\basic\basic_ref_zh.wav,16.896,0.9,0.0,0.84,845.99
