method,weight,gen_text,output_wav,identity_ref,emotion_ref,duration_s,peak_amp,wer,sim_o,mcd
direct_mel_injection,0.0,The situation has become completely unacceptable and we need to act now.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\emotion_transfer\audio\w0.00.wav,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\samples\common_voice_he_38078769.wav,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\samples\common_voice_he_38078770.wav,6.08,0.9,8.3,0.7772,738.63
direct_mel_injection,0.25,The situation has become completely unacceptable and we need to act now.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\emotion_transfer\audio\w0.25.wav,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\samples\common_voice_he_38078769.wav,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\samples\common_voice_he_38078770.wav,6.08,0.9,8.3,0.7209,776.18
direct_mel_injection,0.5,The situation has become completely unacceptable and we need to act now.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\emotion_transfer\audio\w0.50.wav,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\samples\common_voice_he_38078769.wav,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\samples\common_voice_he_38078770.wav,6.08,0.9,25.0,0.7204,797.5
direct_mel_injection,0.75,The situation has become completely unacceptable and we need to act now.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\emotion_transfer\audio\w0.75.wav,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\samples\common_voice_he_38078769.wav,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\samples\common_voice_he_38078770.wav,6.08,0.9,16.7,0.7106,828.89
direct_mel_injection,1.0,The situation has become completely unacceptable and we need to act now.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\emotion_transfer\audio\w1.00.wav,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\samples\common_voice_he_38078769.wav,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\samples\common_voice_he_38078770.wav,6.08,0.9,16.7,0.7249,884.7
zero_shot_emotion,1.0,The situation has become completely unacceptable and we need to act now.,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\emotion_transfer\audio\zeroshot_emotion.wav,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\samples\common_voice_he_38078770.wav,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\samples\common_voice_he_38078770.wav,6.08,0.9,16.7,0.7249,884.7
