method,method_label,primary_param,primary_value,sway_coef,tag,wer,sim_A,sim_B,mcd_A,duration_s,output_wav
A,Method A — SDEdit (noise injection),noise_level,0.05,-0.6,a0.05_sn0.6,0.0,0.7664,0.7046,663.34,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.05_sn0.6.wav
A,Method A — SDEdit (noise injection),noise_level,0.05,-0.5,a0.05_sn0.5,35.0,0.7686,0.7156,690.79,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.05_sn0.5.wav
A,Method A — SDEdit (noise injection),noise_level,0.05,-0.4,a0.05_sn0.4,30.0,0.72,0.7122,713.55,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.05_sn0.4.wav
A,Method A — SDEdit (noise injection),noise_level,0.05,-0.3,a0.05_sn0.3,40.0,0.7409,0.7213,740.17,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.05_sn0.3.wav
A,Method A — SDEdit (noise injection),noise_level,0.05,-0.2,a0.05_sn0.2,70.0,0.7863,0.7676,756.73,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.05_sn0.2.wav
A,Method A — SDEdit (noise injection),noise_level,0.05,-0.1,a0.05_sn0.1,35.0,0.679,0.6745,709.35,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.05_sn0.1.wav
A,Method A — SDEdit (noise injection),noise_level,0.05,-0.0,a0.05_sn0.0,60.0,0.6679,0.7068,713.23,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.05_sn0.0.wav
A,Method A — SDEdit (noise injection),noise_level,0.05,0.1,a0.05_sp0.1,85.0,0.6434,0.6962,706.18,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.05_sp0.1.wav
A,Method A — SDEdit (noise injection),noise_level,0.05,0.2,a0.05_sp0.2,70.0,0.6254,0.6777,701.95,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.05_sp0.2.wav
A,Method A — SDEdit (noise injection),noise_level,0.05,0.3,a0.05_sp0.3,65.0,0.6111,0.6602,695.78,12.256,C:\Users\User\Documents\MSc\Studies\SigProcForSpeech\project\results\noise_inject\method_A\audio\a0.05_sp0.3.wav
